track;album;artist
All Along the Watchtower;Electric Ladyland;The Jimi Hendrix Experience
Voodoo Child (Slight Return);Electric Ladyland;The Jimi Hendrix Experience
Please, Please, Please;Star Time;James Brown
Why Do You Do Me;Star Time;James Brown
Try Me;Star Time;James Brown
Tell Me What I Did Wrong;Star Time;James Brown
Bewildered;Star Time;James Brown
Good Good Lovin';Star Time;James Brown
I'll Go Crazy;Star Time;James Brown
I Know It's True;Star Time;James Brown
(Do The) Mashed Potatoes Part 1;Star Time;James Brown
Think;Star Time;James Brown
Baby You're Right;Star Time;James Brown
Lost Someone;Star Time;James Brown
Night Train;Star Time;James Brown
I've Got Money;Star Time;James Brown
I Don't Mind;Star Time;James Brown
Prisoner Of Love;Star Time;James Brown
Devil's Den;Star Time;James Brown
Out Of The Blue;Star Time;James Brown
Out Of Sight;Star Time;James Brown
Grits;Star Time;James Brown
Maybe The Last Time;Star Time;James Brown
It's A Man's World;Star Time;James Brown
I Got You (I Feel Good);Star Time;James Brown
Papa's Got A Brand New Bag;Star Time;James Brown
Papa's Got A Brand New Bag;Star Time;James Brown
I Got You (I Feel Good);Star Time;James Brown
Ain't That A Groove;Star Time;James Brown
It's A Man's, Man's, Man's World;Star Time;James Brown
Money Won't Change You;Star Time;James Brown
Don't Be A Dropout;Star Time;James Brown
Bring It Up (Hipsters Avenue);Star Time;James Brown
Let Yourself Go;Star Time;James Brown
Cold Sweat;Star Time;James Brown
Get It Together;Star Time;James Brown
I Can't Stand Myself (When You Touch Me), Pt. 1;Star Time;James Brown
I Got The Feelin';Star Time;James Brown
Licking Stick - Licking Stick;Star Time;James Brown
Say It Loud - I'm Black And I'm Proud;Star Time;James Brown
There Was A Time;Star Time;James Brown
Give It Up Or Turnit A Loose;Star Time;James Brown
I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Myself);Star Time;James Brown
Mother Popcorn;Star Time;James Brown
Funky Drummer;Star Time;James Brown
Get Up (I Feel Like Being A) Sex Machine;Star Time;James Brown
Super Bad;Star Time;James Brown
Talkin' Loud And Sayin' Nothing;Star Time;James Brown
Get Up, Get Into It, Get Involved;Star Time;James Brown
Soul Power (Parts 1 & 2);Star Time;James Brown
Medley: Brother Rapp/Ain't It Funky Now;Star Time;James Brown
Hot Pants (She Got To Use What She Got To Get What She Wants);Star Time;James Brown
Speak to Me;The Dark Side of the Moon;Pink Floyd
Breathe (In the Air);The Dark Side of the Moon;Pink Floyd
On the Run;The Dark Side of the Moon;Pink Floyd
Time;The Dark Side of the Moon;Pink Floyd
The Great Gig in the Sky;The Dark Side of the Moon;Pink Floyd
Money;The Dark Side of the Moon;Pink Floyd
Us and Them;The Dark Side of the Moon;Pink Floyd
Any Colour You Like;The Dark Side of the Moon;Pink Floyd
Brain Damage;The Dark Side of the Moon;Pink Floyd
Eclipse;The Dark Side of the Moon;Pink Floyd
"6'1"" - Remastered";Exile in Guyville;Liz Phair
Help Me Mary - Remastered;Exile in Guyville;Liz Phair
Glory - Remastered;Exile in Guyville;Liz Phair
Dance of the Seven Veils - Remastered;Exile in Guyville;Liz Phair
Never Said - Remastered;Exile in Guyville;Liz Phair
Soap Star Joe - Remastered;Exile in Guyville;Liz Phair
Explain It To Me - Remastered;Exile in Guyville;Liz Phair
Canary - Remastered;Exile in Guyville;Liz Phair
Mesmerizing - Remastered;Exile in Guyville;Liz Phair
Fuck and Run - Remastered;Exile in Guyville;Liz Phair
Girls! Girls! Girls! - Remastered;Exile in Guyville;Liz Phair
Divorce Song - Remastered;Exile in Guyville;Liz Phair
Shatter - Remastered;Exile in Guyville;Liz Phair
Flower - Remastered;Exile in Guyville;Liz Phair
Johnny Sunshine - Remastered;Exile in Guyville;Liz Phair
Gunshy - Remastered;Exile in Guyville;Liz Phair
Stratford-On-Guy - Remastered;Exile in Guyville;Liz Phair
Strange Loop - Remastered;Exile in Guyville;Liz Phair
EVERYBODYDIES;The Band;The Band
Roses;The Band;The Band
Underneath My Skin;The Band;The Band
I Think I Like You;The Band;The Band
Know It All;The Band;The Band
Who Do You Think You Are?;The Band;The Band
Sorry Mom;The Band;The Band
Just A Phase;The Band;The Band
1 Last Cigarette;The Band;The Band
Song About You;The Band;The Band
Damage;The Band;The Band
Look Up;The Band;The Band
Help Me Get Over You;The Band;The Band
Get It Your Way;The Band;The Band
Black Dog - Remaster;Led Zeppelin IV;Led Zeppelin
Rock and Roll - Remaster;Led Zeppelin IV;Led Zeppelin
The Battle of Evermore - Remaster;Led Zeppelin IV;Led Zeppelin
Stairway to Heaven - Remaster;Led Zeppelin IV;Led Zeppelin
Misty Mountain Hop - Remaster;Led Zeppelin IV;Led Zeppelin
Four Sticks - Remaster;Led Zeppelin IV;Led Zeppelin
Going to California - Remaster;Led Zeppelin IV;Led Zeppelin
When the Levee Breaks - Remaster;Led Zeppelin IV;Led Zeppelin
Black Dog - Basic Track with Guitar Overdubs;Led Zeppelin IV;Led Zeppelin
Rock and Roll - Alternate Mix;Led Zeppelin IV;Led Zeppelin
The Battle of Evermore - Mandolin / Guitar Mix from Headley Grange;Led Zeppelin IV;Led Zeppelin
Stairway to Heaven - Sunset Sound Mix;Led Zeppelin IV;Led Zeppelin
Misty Mountain Hop - Alternate Mix;Led Zeppelin IV;Led Zeppelin
Four Sticks - Alternate Mix;Led Zeppelin IV;Led Zeppelin
Going to California - Mandolin / Guitar Mix;Led Zeppelin IV;Led Zeppelin
When the Levee Breaks - Alternate UK Mix in Progress;Led Zeppelin IV;Led Zeppelin
You Are The Sunshine Of My Life;Talking Book;Stevie Wonder
Maybe Your Baby;Talking Book;Stevie Wonder
You And I;Talking Book;Stevie Wonder
Tuesday Heartbreak;Talking Book;Stevie Wonder
You've Got It Bad Girl;Talking Book;Stevie Wonder
Superstition;Talking Book;Stevie Wonder
Big Brother;Talking Book;Stevie Wonder
Blame It On The Sun;Talking Book;Stevie Wonder
Lookin' For Another Pure Love;Talking Book;Stevie Wonder
I Believe (When I Fall In Love It Will Be Forever);Talking Book;Stevie Wonder
Astral Weeks - 1999 Remaster;Astral Weeks;Van Morrison
Beside You - 1999 Remaster;Astral Weeks;Van Morrison
Sweet Thing - 1999 Remaster;Astral Weeks;Van Morrison
Cyprus Avenue - 1999 Remaster;Astral Weeks;Van Morrison
The Way Young Lovers Do - 1999 Remaster;Astral Weeks;Van Morrison
Madame George - 1999 Remaster;Astral Weeks;Van Morrison
Ballerina - 1999 Remaster;Astral Weeks;Van Morrison
Slim Slow Slider - 1999 Remaster;Astral Weeks;Van Morrison
I Ain't No Joke;Paid in Full;Eric B. & Rakim
Eric B. Is On The Cut;Paid in Full;Eric B. & Rakim
My Melody;Paid in Full;Eric B. & Rakim
I Know You Got Soul;Paid in Full;Eric B. & Rakim
Move The Crowd;Paid in Full;Eric B. & Rakim
Paid In Full;Paid in Full;Eric B. & Rakim
As The Rhyme Goes On;Paid in Full;Eric B. & Rakim
Chinese Arithmetic;Paid in Full;Eric B. & Rakim
Eric B. Is President;Paid in Full;Eric B. & Rakim
Extended Beat;Paid in Full;Eric B. & Rakim
As The Rhyme Goes On - Radio Mix;Paid in Full;Eric B. & Rakim
Paid In Full;Paid in Full;Eric B. & Rakim
Welcome To The Jungle;Appetite for Destruction;Guns N' Roses
It's So Easy;Appetite for Destruction;Guns N' Roses
Nightrain;Appetite for Destruction;Guns N' Roses
Out Ta Get Me;Appetite for Destruction;Guns N' Roses
Mr. Brownstone;Appetite for Destruction;Guns N' Roses
Paradise City;Appetite for Destruction;Guns N' Roses
My Michelle;Appetite for Destruction;Guns N' Roses
Think About You;Appetite for Destruction;Guns N' Roses
Sweet Child O' Mine;Appetite for Destruction;Guns N' Roses
You're Crazy;Appetite for Destruction;Guns N' Roses
Anything Goes;Appetite for Destruction;Guns N' Roses
Rocket Queen;Appetite for Destruction;Guns N' Roses
Black Cow;Aja;Steely Dan
Aja;Aja;Steely Dan
Deacon Blues;Aja;Steely Dan
Peg;Aja;Steely Dan
Home At Last;Aja;Steely Dan
I Got The News;Aja;Steely Dan
Josie;Aja;Steely Dan
Intro;Stankonia;Outkast
Gasoline Dreams (with Khujo Goodie);Stankonia;Outkast
I'm Cool (Interlude);Stankonia;Outkast
So Fresh, So Clean;Stankonia;Outkast
Ms. Jackson;Stankonia;Outkast
Snappin' & Trappin' (feat. Killer Mike & J-Sweet);Stankonia;Outkast
D.F. (Interlude);Stankonia;Outkast
Spaghetti Junction;Stankonia;Outkast
Kim & Cookie (Interlude);Stankonia;Outkast
I'll Call B4 I Cum (feat. Gangsta Boo & Eco);Stankonia;Outkast
B.O.B. - Bombs Over Baghdad;Stankonia;Outkast
Xplosion (feat. B-Real);Stankonia;Outkast
Good Hair (Interlude);Stankonia;Outkast
We Luv Deez Hoez (feat. Backbone & Big Gipp);Stankonia;Outkast
Humble Mumble (feat. Erykah Badu);Stankonia;Outkast
Drinkin' Again (Interlude);Stankonia;Outkast
?;Stankonia;Outkast
Red Velvet;Stankonia;Outkast
Cruisin' In The ATL (Interlude);Stankonia;Outkast
Gangsta Sh*t (feat. Slimm Calhoun, C-Bone & T-Mo);Stankonia;Outkast
Toilet Tisha;Stankonia;Outkast
Slum Beautiful (feat. Cee-Lo);Stankonia;Outkast
Pre-Nump (Interlude);Stankonia;Outkast
Stankonia (Stanklove) (feat. Big Rube & Sleepy Brown);Stankonia;Outkast
Introduction - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Think - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
I Want To Be Around - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
James Brown Thanks - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
That's Life - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Kansas City - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Let Yourself Go - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
There Was A Time - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
I Feel All Right - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Cold Sweat - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
It May Be The Last Time - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
I Got You (I Feel Good) - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Prisoner Of Love - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Out Of Sight - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Try Me - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Bring It Up - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
It's A Man's Man's Man's World - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Lost Someone - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
Please, Please, Please - Live At The Apollo Theater, 1967;Live at the Apollo;James Brown
A Love Supreme, Pt. I – Acknowledgement;A Love Supreme;John Coltrane
A Love Supreme, Pt. II - Resolution;A Love Supreme;John Coltrane
A Love Supreme, Pt. III - Pursuance;A Love Supreme;John Coltrane
A Love Supreme, Pt. IV - Psalm;A Love Supreme;John Coltrane
Can't Knock The Hustle;Reasonable Doubt;Jay-Z
Politics As Usual;Reasonable Doubt;Jay-Z
Brooklyn's Finest;Reasonable Doubt;Jay-Z
Dead Presidents II;Reasonable Doubt;Jay-Z
Feelin' It;Reasonable Doubt;Jay-Z
D'evils;Reasonable Doubt;Jay-Z
22 Two's;Reasonable Doubt;Jay-Z
Can I Live;Reasonable Doubt;Jay-Z
Ain't No Nigga;Reasonable Doubt;Jay-Z
Friend Or Foe;Reasonable Doubt;Jay-Z
Coming Of Age;Reasonable Doubt;Jay-Z
Cashmere Thoughts;Reasonable Doubt;Jay-Z
Bring It On;Reasonable Doubt;Jay-Z
Regrets;Reasonable Doubt;Jay-Z
Can I Live II;Reasonable Doubt;Jay-Z
Running Up That Hill (A Deal With God) - 2018 Remaster;Hounds of Love;Kate Bush
Hounds Of Love - 2018 Remaster;Hounds of Love;Kate Bush
The Big Sky - 2018 Remaster;Hounds of Love;Kate Bush
Mother Stands For Comfort - 2018 Remaster;Hounds of Love;Kate Bush
Cloudbusting - 2018 Remaster;Hounds of Love;Kate Bush
And Dream Of Sheep - 2018 Remaster;Hounds of Love;Kate Bush
Under Ice - 2018 Remaster;Hounds of Love;Kate Bush
Waking The Witch - 2018 Remaster;Hounds of Love;Kate Bush
Watching You Without Me - 2018 Remaster;Hounds of Love;Kate Bush
Jig Of Life - 2018 Remaster;Hounds of Love;Kate Bush
Hello Earth - 2018 Remaster;Hounds of Love;Kate Bush
The Morning Fog - 2018 Remaster;Hounds of Love;Kate Bush
All I Really Want - 2015 Remaster;Jagged Little Pill;Alanis Morissette
You Oughta Know - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Perfect - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Hand in My Pocket - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Right Through You - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Forgiven - 2015 Remaster;Jagged Little Pill;Alanis Morissette
You Learn - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Head over Feet - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Mary Jane - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Ironic - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Not the Doctor - 2015 Remaster;Jagged Little Pill;Alanis Morissette
Wake Up - 2015 Remaster;Jagged Little Pill;Alanis Morissette
"You Oughta Know (Jimmy the Saint Blend) / Your House - A Capella; 2015 Remaster";Jagged Little Pill;Alanis Morissette
Straight Outta Compton;Straight Outta Compton;N.W.A
Fuck Tha Police;Straight Outta Compton;N.W.A
Gangsta Gangsta;Straight Outta Compton;N.W.A
If It Ain't Ruff;Straight Outta Compton;N.W.A
Parental Discretion Iz Advised;Straight Outta Compton;N.W.A
8 Ball - Remix;Straight Outta Compton;N.W.A
Something Like That;Straight Outta Compton;N.W.A
Express Yourself;Straight Outta Compton;N.W.A
Compton's N The House - Remix;Straight Outta Compton;N.W.A
I Ain't Tha 1;Straight Outta Compton;N.W.A
Dopeman - Remix;Straight Outta Compton;N.W.A
Quiet On Tha Set;Straight Outta Compton;N.W.A
Something 2 Dance 2;Straight Outta Compton;N.W.A
Natural Mystic;Exodus;Bob Marley and the Wailers
So Much Things To Say;Exodus;Bob Marley and the Wailers
Guiltiness;Exodus;Bob Marley and the Wailers
The Heathen;Exodus;Bob Marley and the Wailers
Exodus;Exodus;Bob Marley and the Wailers
Jamming;Exodus;Bob Marley and the Wailers
Waiting In Vain;Exodus;Bob Marley and the Wailers
Turn Your Lights Down Low;Exodus;Bob Marley and the Wailers
Three Little Birds;Exodus;Bob Marley and the Wailers
One Love / People Get Ready - Medley;Exodus;Bob Marley and the Wailers
"Jamming - 12"" Version";Exodus;Bob Marley and the Wailers
"Punky Reggae Party - 12"" Version";Exodus;Bob Marley and the Wailers
Harvest Moon;Harvest;Neil Young
Down by the River;Harvest;Neil Young
Heart of Gold;Harvest;Neil Young
Like a Hurricane;Harvest;Neil Young
Ohio;Harvest;Neil Young
Old Man;Harvest;Neil Young
Powderfinger;Harvest;Neil Young
Only Shallow;Loveless;My Bloody Valentine
Loomer;Loveless;My Bloody Valentine
Touched;Loveless;My Bloody Valentine
To Here Knows When;Loveless;My Bloody Valentine
When You Sleep;Loveless;My Bloody Valentine
I Only Said;Loveless;My Bloody Valentine
Come in Alone;Loveless;My Bloody Valentine
Sometimes;Loveless;My Bloody Valentine
Blown a Wish;Loveless;My Bloody Valentine
What You Want;Loveless;My Bloody Valentine
Soon;Loveless;My Bloody Valentine
Intro;The College Dropout;Kanye West
We Don't Care;The College Dropout;Kanye West
Graduation Day;The College Dropout;Kanye West
All Falls Down;The College Dropout;Kanye West
I'll Fly Away;The College Dropout;Kanye West
Spaceship;The College Dropout;Kanye West
Jesus Walks;The College Dropout;Kanye West
Never Let Me Down;The College Dropout;Kanye West
Get Em High;The College Dropout;Kanye West
Workout Plan;The College Dropout;Kanye West
The New Workout Plan;The College Dropout;Kanye West
Slow Jamz;The College Dropout;Kanye West
Breathe In Breathe Out;The College Dropout;Kanye West
School Spirit Skit 1;The College Dropout;Kanye West
School Spirit;The College Dropout;Kanye West
School Spirit Skit 2;The College Dropout;Kanye West
Lil Jimmy Skit;The College Dropout;Kanye West
Two Words;The College Dropout;Kanye West
Through The Wire;The College Dropout;Kanye West
Family Business;The College Dropout;Kanye West
Last Call;The College Dropout;Kanye West
Chain of Fools;Lady Soul;Aretha Franklin
Money Won't Change You;Lady Soul;Aretha Franklin
People Get Ready;Lady Soul;Aretha Franklin
Niki Hoeky;Lady Soul;Aretha Franklin
(You Make Me Feel Like) A Natural Woman;Lady Soul;Aretha Franklin
(Sweet Sweet Baby) Since You've Been Gone;Lady Soul;Aretha Franklin
Good to Me as I Am to You;Lady Soul;Aretha Franklin
Come Back Baby;Lady Soul;Aretha Franklin
Groovin';Lady Soul;Aretha Franklin
Ain't No Way;Lady Soul;Aretha Franklin
Chain of Fools;Lady Soul;Aretha Franklin
(You Make Me Feel Like) A Natural Woman - Mono;Lady Soul;Aretha Franklin
(Sweet Sweet Baby) Since You've Been Gone - Mono;Lady Soul;Aretha Franklin
Ain't No Way - Mono;Lady Soul;Aretha Franklin
Little Child Runnin' Wild;Super Fly;Curtis Mayfield
Pusherman;Super Fly;Curtis Mayfield
Freddie's Dead;Super Fly;Curtis Mayfield
Junkie Chase - Instrumental;Super Fly;Curtis Mayfield
Give Me Your Love (Love Song);Super Fly;Curtis Mayfield
Eddie You Should Know Better;Super Fly;Curtis Mayfield
No Thing on Me (Cocaine Song);Super Fly;Curtis Mayfield
Think - Instrumental;Super Fly;Curtis Mayfield
Superfly;Super Fly;Curtis Mayfield
"Freddie's Dead - Theme From 'Superfly'; Single Mix";Super Fly;Curtis Mayfield
Superfly - Single Mix Version;Super Fly;Curtis Mayfield
Baba O'Riley;Who's Next;The Who
Bargain;Who's Next;The Who
Love Ain't For Keeping;Who's Next;The Who
My Wife;Who's Next;The Who
The Song Is Over;Who's Next;The Who
Getting In Tune;Who's Next;The Who
Going Mobile;Who's Next;The Who
Behind Blue Eyes;Who's Next;The Who
Won't Get Fooled Again - Original Album Version;Who's Next;The Who
Baby Don't You Do It - New York Record Plant Session Full Version;Who's Next;The Who
Getting In Tune - New York Record Plant Session 2003 Remix;Who's Next;The Who
Pure And Easy - New York Record Plant Session 2003 Remix;Who's Next;The Who
Love Ain't For Keeping - New York Record Plant Session 2003 Remix;Who's Next;The Who
Behind Blue Eyes - New York Record Plant Session 2003 Remix;Who's Next;The Who
Won't Get Fooled Again - New York Record Plant Session 2003 Remix;Who's Next;The Who
Love Ain't For Keeping - Live;Who's Next;The Who
Pure And Easy - Live;Who's Next;The Who
Young Man Blues - Live;Who's Next;The Who
Time Is Passing - Live;Who's Next;The Who
Behind Blue Eyes - Live;Who's Next;The Who
I Don't Even Know Myself - Live;Who's Next;The Who
Too Much Of Anything - Live;Who's Next;The Who
Getting In Tune - Live;Who's Next;The Who
Bargain - Live;Who's Next;The Who
Water - Live;Who's Next;The Who
My Generation - Live;Who's Next;The Who
(I'm A) Road Runner - Live;Who's Next;The Who
Naked Eye - Live;Who's Next;The Who
Won't Get Fooled Again - Young Vic Live Mix;Who's Next;The Who
I'll Never Stand In Your Way;The Sun Sessions;Elvis Presley
That's All Right - Alternate Take;The Sun Sessions;Elvis Presley
Blue Moon - Alternate Take;The Sun Sessions;Elvis Presley
Good Rockin' Tonight;The Sun Sessions;Elvis Presley
Mystery Train;The Sun Sessions;Elvis Presley
I Got a Woman - Alternate Take;The Sun Sessions;Elvis Presley
Heartbreak Hotel - Alternate Take 6;The Sun Sessions;Elvis Presley
I'm Counting On You - Alternate Take 13;The Sun Sessions;Elvis Presley
Shake, Rattle and Roll / Flip, Flop and Fly;The Sun Sessions;Elvis Presley
Lawdy, Miss Clawdy - Alternate Take 1;The Sun Sessions;Elvis Presley
I Want You, I Need You, I Love You - Alternate Take 4;The Sun Sessions;Elvis Presley
Hound Dog;The Sun Sessions;Elvis Presley
Don't Be Cruel;The Sun Sessions;Elvis Presley
Rip It Up - Alternate Take 15;The Sun Sessions;Elvis Presley
Love Me Tender;The Sun Sessions;Elvis Presley
When the Saints Go Marching In;The Sun Sessions;Elvis Presley
All Shook Up;The Sun Sessions;Elvis Presley
(There'll Be) Peace In the Valley (For Me) - Alternate Take 3;The Sun Sessions;Elvis Presley
Blueberry Hill;The Sun Sessions;Elvis Presley
(Let Me Be Your) Teddy Bear;The Sun Sessions;Elvis Presley
Jailhouse Rock;The Sun Sessions;Elvis Presley
New Orleans;The Sun Sessions;Elvis Presley
I Need Your Love Tonight - Alternate Take 7;The Sun Sessions;Elvis Presley
A Big Hunk O' Love - Alternate Take 4;The Sun Sessions;Elvis Presley
Bad Nauheim Medley: I'll Take You Home Again Kathleen / I Will Be True / It's Been So Long Darling / Apron Strings / There's No Tomorrow;The Sun Sessions;Elvis Presley
Stuck On You;The Sun Sessions;Elvis Presley
Fame and Fortune;The Sun Sessions;Elvis Presley
It's Now or Never;The Sun Sessions;Elvis Presley
It Feels So Right;The Sun Sessions;Elvis Presley
A Mess of Blues - Alternate Take 1;The Sun Sessions;Elvis Presley
Are You Lonesome Tonight?;The Sun Sessions;Elvis Presley
Reconsider Baby;The Sun Sessions;Elvis Presley
Tonight Is So Right for Love - Alternate Take 3;The Sun Sessions;Elvis Presley
His Hand In Mine - Alternate Take 2;The Sun Sessions;Elvis Presley
Milky White Way - Alternate Take 3;The Sun Sessions;Elvis Presley
I'm Comin' Home - Alternate Take 3;The Sun Sessions;Elvis Presley
I Feel So Bad - Alternate Take 1;The Sun Sessions;Elvis Presley
Can't Help Falling in Love;The Sun Sessions;Elvis Presley
Something Blue - Alternate Take;The Sun Sessions;Elvis Presley
"Return to Sender - From ""Girls! Girls! Girls!""";The Sun Sessions;Elvis Presley
Bossa Nova Baby - Alternate Take 2;The Sun Sessions;Elvis Presley
How Great Thou Art - Alternate Take 4;The Sun Sessions;Elvis Presley
Guitar Man - Alternate Take 4;The Sun Sessions;Elvis Presley
You'll Never Walk Alone - Alternate Take 2;The Sun Sessions;Elvis Presley
Oh How I Love Jesus;The Sun Sessions;Elvis Presley
Tennessee Waltz;The Sun Sessions;Elvis Presley
Blowin' In the Wind;The Sun Sessions;Elvis Presley
I Can't Help It (If I'm Still In Love with You);The Sun Sessions;Elvis Presley
I'm Beginning to Forget You;The Sun Sessions;Elvis Presley
After Loving You;The Sun Sessions;Elvis Presley
Nikes;Blonde;Frank Ocean
Ivy;Blonde;Frank Ocean
Pink + White;Blonde;Frank Ocean
Be Yourself;Blonde;Frank Ocean
Solo;Blonde;Frank Ocean
Skyline To;Blonde;Frank Ocean
Self Control;Blonde;Frank Ocean
Good Guy;Blonde;Frank Ocean
Nights;Blonde;Frank Ocean
Solo (Reprise);Blonde;Frank Ocean
Pretty Sweet;Blonde;Frank Ocean
Facebook Story;Blonde;Frank Ocean
Close To You;Blonde;Frank Ocean
White Ferrari;Blonde;Frank Ocean
Seigfried;Blonde;Frank Ocean
Godspeed;Blonde;Frank Ocean
Futura Free;Blonde;Frank Ocean
Holidays in the Sun;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Bodies;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
No Feelings;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Liar;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Problems;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
God Save the Queen;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Seventeen;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Anarchy in the U.K.;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Sub-Mission;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Pretty Vacant;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
New York;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
EMI;Never Mind the Bollocks, Here's the Sex Pistols;Sex Pistols
Pretty Hurts;Beyoncé;Beyoncé
Haunted;Beyoncé;Beyoncé
Drunk in Love (feat. Jay-Z);Beyoncé;Beyoncé
Blow;Beyoncé;Beyoncé
No Angel;Beyoncé;Beyoncé
Partition;Beyoncé;Beyoncé
Jealous;Beyoncé;Beyoncé
Rocket;Beyoncé;Beyoncé
Mine (feat. Drake);Beyoncé;Beyoncé
XO;Beyoncé;Beyoncé
***Flawless (feat. Chimamanda Ngozi Adichie);Beyoncé;Beyoncé
Superpower (feat. Frank Ocean);Beyoncé;Beyoncé
Heaven;Beyoncé;Beyoncé
Blue (feat. Blue Ivy);Beyoncé;Beyoncé
7/11;Beyoncé;Beyoncé
Flawless Remix (feat. Nicki Minaj);Beyoncé;Beyoncé
Drunk in Love Remix (feat. Jay-Z & Kanye West);Beyoncé;Beyoncé
Ring Off;Beyoncé;Beyoncé
Blow Remix (feat. Pharrell Williams);Beyoncé;Beyoncé
Standing on the Sun Remix (feat. Mr. Vegas);Beyoncé;Beyoncé
Luv N' Haight - Single Version;There's a Riot Goin' On;Sly and the Family Stone
Just Like a Baby;There's a Riot Goin' On;Sly and the Family Stone
Poet;There's a Riot Goin' On;Sly and the Family Stone
Family Affair - Single Version;There's a Riot Goin' On;Sly and the Family Stone
"Africa Talks to You (""The Asphalt Jungle"")";There's a Riot Goin' On;Sly and the Family Stone
There's a Riot Goin' On;There's a Riot Goin' On;Sly and the Family Stone
Brave & Strong - Single Version;There's a Riot Goin' On;Sly and the Family Stone
(You Caught Me) Smilin' - Single Version;There's a Riot Goin' On;Sly and the Family Stone
Time;There's a Riot Goin' On;Sly and the Family Stone
Spaced Cowboy;There's a Riot Goin' On;Sly and the Family Stone
Runnin' Away - Single Version;There's a Riot Goin' On;Sly and the Family Stone
Thank You for Talkin' to Me, Africa;There's a Riot Goin' On;Sly and the Family Stone
Just a Little Lovin';Dusty in Memphis;Dusty Springfield
So Much Love;Dusty in Memphis;Dusty Springfield
Son of a Preacher Man;Dusty in Memphis;Dusty Springfield
I Don't Want to Hear It Anymore;Dusty in Memphis;Dusty Springfield
Don't Forget About Me;Dusty in Memphis;Dusty Springfield
Breakfast in Bed;Dusty in Memphis;Dusty Springfield
Just One Smile;Dusty in Memphis;Dusty Springfield
The Windmills of Your Mind;Dusty in Memphis;Dusty Springfield
In the Land of Make Believe;Dusty in Memphis;Dusty Springfield
No Easy Way Down;Dusty in Memphis;Dusty Springfield
I Can't Make It Alone;Dusty in Memphis;Dusty Springfield
What Do You Do When Love Dies;Dusty in Memphis;Dusty Springfield
Willie & Laura Mae Jones;Dusty in Memphis;Dusty Springfield
That Old Sweet Roll (Hi-De-Ho);Dusty in Memphis;Dusty Springfield
Cherished;Dusty in Memphis;Dusty Springfield
Goodbye;Dusty in Memphis;Dusty Springfield
Make It with You;Dusty in Memphis;Dusty Springfield
Love Shine Down;Dusty in Memphis;Dusty Springfield
Live Here with You;Dusty in Memphis;Dusty Springfield
Natchez Trace;Dusty in Memphis;Dusty Springfield
All the King's Horses;Dusty in Memphis;Dusty Springfield
I'll Be Faithful - Stereo Version;Dusty in Memphis;Dusty Springfield
Have a Good Life Baby;Dusty in Memphis;Dusty Springfield
You've Got a Friend - Previously unissued Version;Dusty in Memphis;Dusty Springfield
I Found My Way;Dusty in Memphis;Dusty Springfield
Hells Bells;Back in Black;AC/DC
Shoot to Thrill;Back in Black;AC/DC
What Do You Do for Money Honey;Back in Black;AC/DC
Givin the Dog a Bone;Back in Black;AC/DC
Let Me Put My Love Into You;Back in Black;AC/DC
Back In Black;Back in Black;AC/DC
You Shook Me All Night Long;Back in Black;AC/DC
Have a Drink on Me;Back in Black;AC/DC
